time,ultrasonic-readout,signal-strength,gps-location-n,gps-location-w,water-temperature,battery-percentage
26,14.29890311,5.96E-05,34.18809507,-119.2238266,64.32233092,8.923143967
27,14.30647543,5.13E-05,34.18809961,-119.2238103,64.32497695,8.902516339
28,14.33927884,5.08E-05,34.18810417,-119.2238165,64.31709912,9.021454347
29,14.32714164,5.77E-05,34.18810387,-119.2238291,64.32470088,8.894638084
30,14.35343525,6.43E-05,34.18810923,-119.2238359,64.32359186,9.153531365
31,14.35362103,6.63E-05,34.18809982,-119.2238364,64.31606397,9.162511659
32,14.38964138,7.92E-05,34.18809842,-119.2238482,64.31547079,8.852986901
33,14.43709969,4.85E-05,34.18809887,-119.2238305,64.31987779,8.922891292
34,14.43682946,4.17E-05,34.18810015,-119.2238392,64.31746847,9.116022982
35,14.45075611,3.89E-05,34.18814235,-119.2238444,64.30838449,8.901080817
36,14.4050648,5.38E-05,34.18815425,-119.223849,64.3130005,8.93772865
37,14.40274495,3.61E-05,34.18815639,-119.2238286,64.31547529,8.946145361
38,14.39721767,2.77E-05,34.18815783,-119.2238205,64.31606781,8.9662331
39,14.39850541,1.36E-05,34.18813461,-119.2238117,64.31461075,8.953630407
40,14.4212024,2.15E-05,34.18812992,-119.2238086,64.30604648,8.990959749
41,14.42204243,2.90E-05,34.18812007,-119.223811,64.30507619,9.042285156
42,14.42470523,1.82E-05,34.18813604,-119.2237964,64.29364932,9.005652536
43,14.44705874,2.32E-05,34.18814508,-119.2237797,64.28936117,9.064977071
44,14.4045111,3.33E-05,34.18815111,-119.2237778,64.28729399,8.961835732
45,14.41882388,3.38E-05,34.18814707,-119.2237777,64.28760467,8.992837362
46,14.44395898,5.03E-05,34.18815532,-119.2237865,64.28367442,8.964133783
47,14.4272341,4.62E-05,34.18815265,-119.2237917,64.28570285,8.906688358
48,14.43770356,4.14E-05,34.18815377,-119.2238014,64.28253757,8.820286172
49,14.43017949,6.19E-05,34.1881601,-119.2237883,64.28695207,8.951246794
50,14.38865755,6.91E-05,34.18817146,-119.2237709,64.28473182,8.97437841
51,14.33169945,6.71E-05,34.18816881,-119.2237662,64.28765429,8.980676768
52,14.31956754,9.46E-05,34.18817201,-119.2237623,64.29142147,8.858374198
53,14.29183801,0.000109366468,34.18817472,-119.2237534,64.28301824,8.877996744
54,14.23518805,9.17E-05,34.18816454,-119.223758,64.27640533,9.033431193
55,14.23073354,9.87E-05,34.18815714,-119.2237479,64.27444037,8.954127043
56,14.25193986,9.25E-05,34.18815287,-119.22375,64.27914943,8.861139316
57,14.2284704,7.55E-05,34.18813534,-119.2237619,64.28992038,8.986434347
58,14.21268409,7.87E-05,34.1881186,-119.2237506,64.28793976,8.925584166
59,14.22516941,8.88E-05,34.18813124,-119.2237537,64.28240048,8.96465097
60,14.21265738,8.86E-05,34.1881319,-119.2237536,64.2831813,8.919298023
61,14.26594742,7.45E-05,34.18812295,-119.22377,64.285652,8.890442409
62,14.24604568,6.01E-05,34.18812771,-119.2237594,64.28628754,8.975436981
63,14.24833372,4.60E-05,34.18811493,-119.2237677,64.28369922,8.950651966
64,14.24137041,4.90E-05,34.18811454,-119.22377,64.28060579,8.944323688
65,14.19043169,6.04E-05,34.18812657,-119.2237625,64.27542409,8.875752439
66,14.19039775,5.16E-05,34.18811953,-119.2237839,64.27679373,9.015021407
67,14.20039519,4.78E-05,34.18811338,-119.2237848,64.28128353,8.970304933
68,14.17742459,5.08E-05,34.18811765,-119.2237834,64.2824732,8.961739502
69,14.187429,4.96E-05,34.18811615,-119.2237704,64.2877447,8.963686115
70,14.21425491,5.37E-05,34.18810939,-119.2237683,64.28275126,8.908082725
71,14.21154034,7.79E-05,34.18810814,-119.2237611,64.27566024,8.788978784
72,14.20795693,9.09E-05,34.18811702,-119.2237481,64.27805749,8.856764112
73,14.21312358,8.47E-05,34.18811506,-119.2237527,64.27374694,8.957900799
74,14.22154864,9.23E-05,34.18810728,-119.2237534,64.27068798,8.994490183
75,14.21317958,0.0001043798077,34.18811332,-119.2237401,64.26267038,9.03019115
76,14.18597574,0.0001000308678,34.18811979,-119.223757,64.25711278,8.990355177
77,14.23057185,0.0001102461707,34.1881243,-119.2237614,64.24568161,8.866536383
78,14.20269299,9.82E-05,34.18812076,-119.223761,64.24051117,8.761313942
79,14.19159325,9.70E-05,34.18812334,-119.2237634,64.24222813,8.884405542
80,14.21060811,0.0001089839569,34.18814454,-119.2237601,64.23977946,9.005098535
81,14.14375436,0.0001115316107,34.18815069,-119.2237661,64.24348041,8.959922347
82,14.14095005,0.0001104506064,34.18815315,-119.2237755,64.24833775,9.004023766
83,14.16058155,0.0001030888505,34.18814648,-119.2237712,64.25346999,8.954526234
84,14.17197567,0.0001067754794,34.18814955,-119.2237737,64.26035174,8.861876535
85,14.14686698,0.000129103992,34.18815728,-119.2237633,64.26225675,8.959970808
86,14.11987296,0.0001335304256,34.18815981,-119.2237662,64.25611507,8.773256927
87,14.12905877,0.0001188336638,34.18815817,-119.2237781,64.24583394,9.023256616
88,14.15560437,0.0001024025553,34.18814336,-119.223782,64.23650886,8.933682617
89,14.18899285,0.0001060779136,34.18816036,-119.2237766,64.2306691,8.919049112
90,14.2363987,0.0001020315785,34.18815877,-119.2237904,64.23213306,8.906690297
91,14.23917612,9.96E-05,34.18815725,-119.2237773,64.23242331,8.948415671
92,14.24586615,9.56E-05,34.1881564,-119.2237772,64.22931217,8.829150835
93,14.27145805,0.0001025511744,34.18815322,-119.2237583,64.23246455,8.943999394
94,14.25375262,9.72E-05,34.18814711,-119.2237525,64.23796634,8.943427133
95,14.25641964,0.0001565091039,34.18816411,-119.2237382,64.23538815,8.842629286
96,14.2473178,0.0001425962313,34.1881609,-119.2237446,64.23144807,8.857630779
97,14.2727373,0.0001751649793,34.18818593,-119.2237472,64.2247414,9.06481626
98,14.29492007,0.0001691054305,34.1881922,-119.2237614,64.22324912,8.8474174
99,14.31988695,0.0001823815844,34.18819878,-119.2237629,64.23546901,8.873615054
100,14.31106617,0.0001948161737,34.18820789,-119.2237584,64.23670264,8.858560261
101,14.28682001,0.0001885889277,34.18819408,-119.2237553,64.23795646,8.866157551
102,14.25527244,0.0002042266381,34.18821432,-119.2237504,64.23986052,8.925515159
103,14.24637408,0.000206023548,34.18821449,-119.2237553,64.23852947,8.794747257
104,14.25142945,0.0001892249415,34.18820133,-119.2237708,64.22286917,8.90670702
105,14.25533108,0.0001892248815,34.18819297,-119.2237693,64.20836336,8.754554529
106,14.27137617,0.00018179795,34.18818896,-119.2237772,64.2038882,8.943980526
107,14.25729294,0.0001740290601,34.18817137,-119.2238022,64.1990597,8.909673971
108,14.2525209,0.0001964807285,34.18818779,-119.2237969,64.2028355,8.883268764
109,14.29856441,0.0002101933967,34.18818903,-119.223777,64.20473953,8.848733814
110,14.27557667,0.0002414185694,34.18821143,-119.2237712,64.19938881,8.823300458
111,14.26264263,0.0002538463048,34.18820868,-119.2237655,64.20156793,8.890641944
112,14.23077477,0.0002390470026,34.18820249,-119.2237657,64.193381,8.863648002
113,14.24077995,0.0002495314841,34.18821128,-119.2237692,64.19214537,8.94384897
114,14.26581128,0.0002605893468,34.18821894,-119.2237608,64.19884331,8.844575645
115,14.26242508,0.0002720375632,34.18822359,-119.2237259,64.19534083,8.921787255
116,14.26846305,0.0002807397456,34.18821918,-119.2237228,64.19712943,8.774611241
117,14.2200919,0.0002769548336,34.18822137,-119.2237128,64.19111927,8.945116054
118,14.25761836,0.0002594906854,34.18821269,-119.2237168,64.1955839,8.920638411
119,14.29092746,0.0002738054404,34.18821687,-119.2237094,64.19530955,8.864713918
120,14.27254214,0.0002747512394,34.18822122,-119.2237147,64.18875945,8.819190861
121,14.25744528,0.0002825028274,34.18823107,-119.2237122,64.19809872,8.813187943
122,14.29692968,0.0003057408736,34.18825886,-119.2237112,64.19562602,8.867536869
123,14.30612456,0.0003020168329,34.18825375,-119.2237159,64.19761844,8.761594276
124,14.34235842,0.0003136635871,34.18825776,-119.223705,64.19467285,8.828053287
125,14.385225,0.0003237434034,34.18825443,-119.2237061,64.1915457,8.73296551
126,14.39488632,0.000329152087,34.18826719,-119.2237134,64.20134304,8.789101931
127,14.43292826,0.0003388092409,34.18827399,-119.2237093,64.20853433,8.822112962
128,14.41610655,0.0003412740088,34.18827563,-119.2237149,64.21413714,8.878503295
129,14.3901218,0.0003457141468,34.18828616,-119.2237237,64.2147461,8.880385339
130,14.42481319,0.0003419546754,34.18828308,-119.2237327,64.21180396,8.841420042
131,14.38174728,0.0003480602156,34.18828273,-119.2237322,64.2116766,8.807247801
132,14.34074925,0.0003577488757,34.18828326,-119.2237356,64.21420382,8.782806966
133,14.3947037,0.0003883272238,34.18829361,-119.2237333,64.21157881,8.867511319
134,14.38679724,0.0004054042744,34.18831403,-119.2237209,64.21384132,8.760673229
135,14.36590258,0.0004050628467,34.18830622,-119.2237162,64.20720921,8.888505197
136,14.36822097,0.0003889249934,34.18829827,-119.2237224,64.21010435,8.91170333
137,14.37238804,0.0003698176567,34.18830436,-119.2237211,64.2096781,8.887124842
138,14.37703333,0.0003899173792,34.18832047,-119.2237117,64.20677054,8.758543973
139,14.4080087,0.0003940738116,34.18832357,-119.2237267,64.20470278,8.689712134
140,14.41393534,0.0004076680965,34.18832702,-119.223738,64.1965956,8.827144894
141,14.39520814,0.0004157656734,34.18834678,-119.2237414,64.19437222,8.927861886
142,14.38815687,0.0004417417205,34.18836244,-119.2237248,64.18937955,8.75433448
143,14.37641626,0.000444804168,34.18836087,-119.2237236,64.18555226,8.850259306
144,14.40202314,0.0004061868529,34.18832644,-119.2237119,64.18728179,8.698532445
145,14.40697518,0.0003887462063,34.18833302,-119.2237245,64.19363864,8.940792184
146,14.38205115,0.0003670676516,34.18832726,-119.2237123,64.19034031,8.79371612
147,14.41360426,0.0003466946216,34.18831356,-119.223709,64.19067418,8.938072134
148,14.4178642,0.0003453250827,34.18832042,-119.2236932,64.19821793,8.643452959
149,14.38283409,0.0003583695953,34.18833566,-119.223713,64.19690191,8.751618979
150,14.40297804,0.0003681052255,34.18834193,-119.2237125,64.19589862,8.759934864
151,14.4035031,0.0003631463425,34.18832951,-119.223713,64.19713149,8.738500524
152,14.40828524,0.0003774627078,34.18834481,-119.2236969,64.20414262,8.780373788
153,14.43684487,0.0003580736454,34.18833605,-119.2237026,64.19849385,8.884680758
154,14.45121537,0.0003601121579,34.18833411,-119.2236982,64.198498,8.868412034
155,14.4921155,0.0003557935803,34.18834544,-119.2237128,64.18861334,8.839424091
156,14.46625477,0.000347872149,34.18834527,-119.2237149,64.19066713,8.741816624
157,14.45804776,0.0003429354681,34.18834689,-119.2237273,64.19264006,8.922269935
158,14.46031005,0.000310630316,34.18834371,-119.2237398,64.18558007,8.751556751
159,14.46578,0.0003146298933,34.18834998,-119.2237275,64.19379656,8.798452462
160,14.47727675,0.0003253293948,34.18834769,-119.2237231,64.19332608,8.802113802
161,14.50089059,0.0003324953218,34.18834489,-119.2237221,64.19536111,8.866976194
162,14.48642631,0.0003548083368,34.18836398,-119.2237115,64.1904547,8.92576244
163,14.48661681,0.0003517447407,34.18836072,-119.2237099,64.18888677,8.750551242
164,14.50240158,0.0003535857097,34.18836428,-119.2237137,64.19331676,8.768382624
165,14.54054876,0.0003706416183,34.18836626,-119.2237148,64.19097129,8.633602567
166,14.52791289,0.0003879510046,34.18837859,-119.2237169,64.18486051,8.826199303
167,14.52640497,0.0003999659818,34.18838223,-119.2237114,64.18095865,8.800831431
168,14.51661356,0.0004069426207,34.18837382,-119.2236947,64.17961111,8.737454806
169,14.53868832,0.0004062956027,34.18837921,-119.2236962,64.18084263,8.705872288
170,14.5722643,0.0004322275213,34.18839782,-119.2236897,64.18043738,8.77917489
171,14.54123297,0.0004469474106,34.18839691,-119.2236837,64.18027232,8.715291599
172,14.55770039,0.0004538229875,34.18840455,-119.2236788,64.18218501,8.749256657
173,14.53505034,0.0004649755208,34.18840831,-119.2236721,64.18042949,8.743249549
174,14.51818084,0.0004598296059,34.18840451,-119.2236605,64.18766134,8.645375056
175,14.55106821,0.0004454275857,34.18840835,-119.2236633,64.18879393,8.72656056
176,14.52133249,0.0004339627071,34.18839552,-119.2236655,64.18593311,8.721752
177,14.51019179,0.0004204947162,34.18840578,-119.2236667,64.17661462,8.842164274
178,14.54469317,0.0004133118908,34.18838763,-119.2236771,64.16946137,8.742341741
179,14.53328331,0.0004137057365,34.18839059,-119.2236688,64.17444389,8.632683622
180,14.5161027,0.0003806387759,34.18836575,-119.223672,64.18004373,8.749785317
181,14.47573765,0.0004119101365,34.18837647,-119.2236599,64.17961891,8.721053582
182,14.44233994,0.0004259908961,34.18838622,-119.2236583,64.17566435,8.808117401
183,14.4567571,0.0004100851148,34.1883854,-119.2236723,64.17167648,8.776392187
184,14.44902019,0.0004009842686,34.18839266,-119.2236759,64.17456476,8.729977927
185,14.45713808,0.000389060963,34.18838164,-119.2236692,64.16632503,8.791073709
186,14.44759846,0.0003854015706,34.18837051,-119.2236694,64.16446492,8.851872118
187,14.41816788,0.0003632485216,34.18835323,-119.2236586,64.1679098,8.66793808
188,14.44325755,0.0003546757699,34.18836459,-119.223657,64.16518553,8.766578093
189,14.40345642,0.0003436680292,34.18835766,-119.2236684,64.16666942,8.654873003
190,14.36870092,0.0003324643388,34.18835362,-119.2236652,64.16307059,8.790677005
191,14.36746747,0.0003579964886,34.18836614,-119.223679,64.16197429,8.761745761
192,14.37350105,0.0003566229631,34.18836282,-119.2236882,64.15876421,8.744202993
193,14.36012914,0.0003888056068,34.18838615,-119.2236838,64.15939278,8.783529744
194,14.37025426,0.0003998169151,34.18840296,-119.2236851,64.15878663,8.807890484
195,14.37598783,0.0004260207111,34.18842049,-119.2236873,64.1575736,8.763246674
196,14.34397341,0.0004343990968,34.18843004,-119.2236962,64.15889675,8.812622258
197,14.336207,0.0004282236424,34.18841625,-119.2236888,64.15358147,8.83308495
198,14.33958331,0.0004042262683,34.18840846,-119.2236868,64.15105319,8.590825943
199,14.34361083,0.0003950185167,34.18842218,-119.2236792,64.15691352,8.667894933
200,14.33061234,0.0003950669744,34.18842235,-119.2236908,64.15378139,8.704485376
201,14.34811077,0.0003912068805,34.18842257,-119.2236767,64.16318283,8.890746568
202,14.3314333,0.0004093330563,34.18843162,-119.2236808,64.15972926,8.766155204
203,14.33654476,0.0004323614409,34.18844227,-119.2236923,64.15357638,8.617078542
204,14.33928858,0.0004190196927,34.18842905,-119.2236747,64.14525736,8.70812538
205,14.40812442,0.0004196413179,34.18841904,-119.2236821,64.1468537,8.80888369
206,14.39195615,0.0004139884203,34.18842004,-119.2236759,64.13339467,8.645426688
207,14.395988,0.0004079235305,34.18841291,-119.2236729,64.12967518,8.711218086
208,14.40436717,0.0003825470795,34.18839486,-119.2236773,64.12389269,8.709758574
209,14.39516792,0.0003741281884,34.18838988,-119.2236819,64.12593656,8.821561696
210,14.41701698,0.0003780644515,34.18838282,-119.2236825,64.1268076,8.561746602
211,14.44625585,0.000370630692,34.18836903,-119.2236876,64.13527107,8.780446744
212,14.468507,0.0003721679813,34.18836476,-119.2236819,64.13418849,8.726646584
213,14.41717846,0.0003482143232,34.18835195,-119.2236727,64.1324818,8.665244893
214,14.40341938,0.0003326871147,34.18835019,-119.2236737,64.1264929,8.723609262
215,14.3839887,0.000323944726,34.1883454,-119.2236859,64.12263017,8.738106169
216,14.36914371,0.0003257407897,34.18834223,-119.2237004,64.12114123,8.747411911
217,14.35975533,0.0003128556775,34.18833938,-119.2237025,64.12242727,8.571096327
218,14.30690157,0.000313108525,34.18834212,-119.2237131,64.12423158,8.571669116
219,14.32251779,0.0003056552841,34.18833983,-119.2237116,64.12389764,8.6894311
220,14.28567909,0.0003020167415,34.18833651,-119.2237131,64.13933431,8.540811886
221,14.28995627,0.0002900963036,34.18831812,-119.2237015,64.13645114,8.609431143
222,14.28464209,0.0002845508021,34.18832339,-119.2237043,64.12984266,8.673110715
223,14.27108653,0.0002961867551,34.18833104,-119.2237103,64.13788127,8.70501563
224,14.23291587,0.0003113572066,34.18833389,-119.2237013,64.14159264,8.668945718
225,14.24292141,0.0003299635233,34.18834158,-119.2236998,64.14851544,8.590928921
226,14.20552387,0.0003311261625,34.18835353,-119.2237104,64.15050667,8.622020269
227,14.17382056,0.0003431737178,34.18835095,-119.2237215,64.15679478,8.600560466
228,14.14367272,0.0003429777407,34.18835117,-119.2237236,64.16606155,8.808752752
229,14.14598089,0.000349929821,34.18835935,-119.2237157,64.16182851,8.66601956
230,14.17104829,0.0003483236728,34.18836505,-119.223737,64.16682109,8.630091765
231,14.16658854,0.0003618845802,34.18838347,-119.2237445,64.16812657,8.66423801
232,14.14627306,0.0003460231813,34.18839225,-119.223746,64.17585076,8.703962613
233,14.14727407,0.0003148637775,34.18837498,-119.2237433,64.1780934,8.755407396
234,14.15591347,0.000321742913,34.18837154,-119.2237448,64.17083714,8.743665278
235,14.14625806,0.000314822366,34.18835514,-119.2237502,64.16997894,8.577514514
236,14.17517281,0.0002801927159,34.18833252,-119.223739,64.1663809,8.705964048
237,14.15868889,0.000276993443,34.18832356,-119.2237449,64.16496245,8.678030095
238,14.14810818,0.0002834379276,34.18832315,-119.223749,64.16337188,8.481342094
239,14.16538979,0.0003123414257,34.18833486,-119.2237586,64.1617646,8.538891901
240,14.14930406,0.0003265054396,34.18833608,-119.2237767,64.15605323,8.520610745
241,14.14326923,0.0003126964974,34.18832899,-119.2237766,64.15945896,8.480283316
242,14.10418729,0.0003180898726,34.18830955,-119.2237583,64.15270102,8.67976991
243,14.14850315,0.0002907654334,34.18829909,-119.223754,64.14910888,8.687301774
244,14.16665701,0.0002962816878,34.18831395,-119.223744,64.14023554,8.70321332
245,14.16294802,0.0003016518373,34.18831226,-119.2237416,64.13911558,8.494623872
246,14.16870053,0.0003046634514,34.18831817,-119.2237471,64.14655884,8.677123215
247,14.1720979,0.0003034457259,34.18831948,-119.2237391,64.1433364,8.723771032
248,14.16487933,0.000319433397,34.18833231,-119.2237226,64.15179136,8.628653084
249,14.15911175,0.00033648798,34.18834278,-119.2237244,64.14688777,8.614412286
250,14.14349265,0.0003403311297,34.18835155,-119.2237278,64.14743469,8.453061286
251,14.13632528,0.000346540829,34.18835495,-119.2237354,64.1482087,8.673021979
252,14.10833194,0.0003382974655,34.18834205,-119.2237351,64.1471253,8.506927151
253,14.13985572,0.0003327459114,34.18832954,-119.2237264,64.14771245,8.595097018
254,14.12693074,0.0003432220196,34.18833119,-119.2237156,64.14364665,8.648813678
255,14.11178758,0.0003403275648,34.18832956,-119.2237182,64.14310915,8.537765224
256,14.09902092,0.0003425745346,34.18832647,-119.2237314,64.1435952,8.659574456
257,14.09554195,0.0003479742434,34.18832209,-119.223743,64.14394982,8.696961691
258,14.09665803,0.0003582806688,34.18832641,-119.2237436,64.15096429,8.638857273
259,14.09642369,0.0003580276812,34.18831919,-119.2237479,64.14394735,8.534294416
260,14.09756142,0.0003537767078,34.1883222,-119.2237542,64.14051446,8.676454499
261,14.09751913,0.0003335011275,34.18830795,-119.2237474,64.14230427,8.734483287
262,14.11776059,0.0003378019888,34.18831437,-119.2237402,64.13815557,8.542640116
263,14.11475517,0.0003309662765,34.18831124,-119.2237366,64.13720091,8.721462051
264,14.11751351,0.0003456004623,34.18830712,-119.2237341,64.13968519,8.525812588
265,14.05351682,0.0003484686313,34.18830111,-119.2237433,64.14263734,8.536105924
266,14.07453715,0.0003503713802,34.18830004,-119.2237598,64.15029174,8.609193175
267,14.0337534,0.0003757756468,34.18831632,-119.2237582,64.14816438,8.750697895
268,13.95093582,0.0003679797581,34.18830657,-119.2237725,64.13715703,8.569455529
269,13.94681983,0.0003786604865,34.1882932,-119.2237909,64.13566077,8.586741651
270,13.96720637,0.0004007985159,34.18830042,-119.2238011,64.13361385,8.590121807
271,13.95214152,0.0003933845174,34.18830025,-119.2238118,64.13829253,8.633364122
272,14.00049126,0.0003930418671,34.1883089,-119.2238113,64.14627047,8.60085317
273,13.94919005,0.0003857856008,34.18831315,-119.2238195,64.14352619,8.775970378
274,13.93328442,0.0003835994782,34.18830232,-119.2238296,64.15219874,8.60625415
275,13.96020254,0.0003684000421,34.18828761,-119.223834,64.14977447,8.563146633
276,13.93614192,0.0003685118055,34.18827737,-119.2238391,64.15167945,8.437012392
277,13.98544483,0.0003865507156,34.18828363,-119.2238474,64.15816758,8.598139218
278,14.03375303,0.0003939077425,34.18827302,-119.2238539,64.15830167,8.605668781
279,14.06105787,0.0004027704443,34.18828429,-119.2238503,64.15825379,8.613529578
280,14.07339808,0.0004143913041,34.18828547,-119.2238682,64.16100567,8.384379422
281,14.10586338,0.000412540495,34.18829438,-119.2238581,64.1728912,8.561293218
282,14.10161021,0.0004259351755,34.18829642,-119.2238544,64.16468255,8.526846366
283,14.11932282,0.0004392747373,34.18830635,-119.2238563,64.16069497,8.677228418
284,14.08549261,0.000448256284,34.18829426,-119.2238629,64.15908211,8.539651428
285,14.09167397,0.0004508841688,34.18828608,-119.2238762,64.16509571,8.635327122
286,14.04814708,0.0004516834599,34.18829001,-119.2238795,64.17365241,8.517399848
287,14.04334704,0.0004706542739,34.18829794,-119.2238805,64.17388703,8.568443606
288,14.03799743,0.0004840680125,34.1883035,-119.2239004,64.1749897,8.396278381
289,14.07089149,0.0004772169935,34.18831306,-119.2238801,64.16897306,8.364883911
290,14.13409142,0.0004960591997,34.1883306,-119.2238792,64.16690148,8.463027924
291,14.11301272,0.0004992076501,34.18833944,-119.2238716,64.16537147,8.518100259
292,14.15008449,0.0005039624064,34.1883464,-119.2238747,64.17310181,8.567790441
293,14.16962196,0.0004822651667,34.18832838,-119.2238649,64.17593418,8.365100775
294,14.19555981,0.0004957460255,34.18833859,-119.2238712,64.17730239,8.579545414
295,14.20125984,0.0005054805905,34.18835293,-119.22387,64.18021435,8.460930272
296,14.24297161,0.0005155600087,34.18835661,-119.223871,64.18124558,8.450795388
297,14.22116141,0.0005143294556,34.18834354,-119.2238916,64.18313202,8.521885298
298,14.16652478,0.0005375594821,34.18834472,-119.2239082,64.18460834,8.477637042
299,14.1439164,0.0005079730882,34.18833158,-119.2238922,64.18320412,8.489451899
300,14.17320031,0.0005327628938,34.18834012,-119.2239045,64.18156572,8.501905171
301,14.20274344,0.0005411877797,34.18834296,-119.2239084,64.17336501,8.601903989
302,14.19378894,0.0005525420971,34.18835565,-119.2238981,64.18644797,8.500062771
303,14.19278209,0.0005846281667,34.18836937,-119.2239153,64.18796586,8.634286
304,14.20958327,0.0005780639298,34.18835149,-119.2239094,64.18830321,8.535771664
305,14.21066457,0.0005873950089,34.18836675,-119.2239226,64.18634049,8.488457485
306,14.21427179,0.0005654438684,34.18836712,-119.2239211,64.18801916,8.388493913
307,14.20853427,0.0005787908059,34.18838853,-119.2239019,64.19147082,8.499879334
308,14.19786762,0.0006072644256,34.18841014,-119.2239117,64.20356787,8.57931045
309,14.22298178,0.0005908057043,34.18839757,-119.2239063,64.20551993,8.450850854
310,14.23178692,0.0005979038993,34.18839002,-119.2239009,64.20562618,8.506243824
311,14.20022035,0.0006041360742,34.18839272,-119.2239107,64.21138914,8.547264821
312,14.20104522,0.0006056443771,34.18839871,-119.2239131,64.2114049,8.435567939
313,14.21647647,0.0005992104766,34.18840054,-119.2239174,64.20844433,8.443912922
314,14.22156182,0.0005903915288,34.18839127,-119.2239239,64.2127615,8.523291339
315,14.21178187,0.0005666525996,34.18838557,-119.223907,64.21760531,8.408656076
316,14.19722387,0.0005752808377,34.18838345,-119.2239096,64.21635793,8.405419182
317,14.18807957,0.0005734475614,34.18838519,-119.2239054,64.21554549,8.389446194
318,14.16941629,0.000576525078,34.18838209,-119.2239081,64.21274209,8.399219028
319,14.15383286,0.0005913259652,34.18838246,-119.2239286,64.21080805,8.437921101
320,14.14747711,0.0006183993778,34.18838015,-119.2239413,64.20834805,8.52873028
321,14.09464262,0.0006251248556,34.18838081,-119.2239536,64.20671715,8.423728994
322,14.11495965,0.0006246095074,34.1883817,-119.2239558,64.20091978,8.264034388
323,14.12921839,0.0006233967483,34.18839438,-119.2239441,64.19177947,8.328137961
324,14.16011728,0.0006169405111,34.18840283,-119.22392,64.18468519,8.360833845
325,14.16239637,0.0006232018529,34.1883954,-119.2239156,64.17769683,8.43523518
326,14.13404048,0.0006277938124,34.18838696,-119.2239215,64.17556065,8.698201825
327,14.15984409,0.0006385455439,34.18839798,-119.2239391,64.1772789,8.377178152
328,14.13101176,0.0006437711732,34.18839144,-119.2239461,64.18287472,8.399277009
329,14.1050437,0.0006319156166,34.18838882,-119.2239393,64.17186772,8.511735172
330,14.11642661,0.0006181852468,34.18838356,-119.2239275,64.17701668,8.453549697
331,14.07975538,0.0006224493338,34.18839245,-119.2239259,64.1776448,8.352663527
332,14.10208995,0.0006152451438,34.18839815,-119.2239113,64.18411104,8.420119411
333,14.04511798,0.0006138491654,34.18839787,-119.2239177,64.17841637,8.386647753
334,14.0858997,0.000645044467,34.18840971,-119.2239142,64.18136257,8.532871947
335,14.06466034,0.0006663276904,34.18841871,-119.2239183,64.1802108,8.547054092
336,14.04763395,0.0006350636246,34.18840635,-119.2238982,64.18082094,8.503606475
337,14.05325053,0.0006272482862,34.18840018,-119.2239018,64.17530658,8.42643818
338,14.01879339,0.0006392403697,34.18839782,-119.2239086,64.17490506,8.375243698
339,14.01355334,0.0006292498717,34.1883861,-119.2239122,64.17498075,8.347982717
340,13.99236902,0.0006247668572,34.18839001,-119.2239081,64.171335,8.407236875
341,14.02321358,0.0006453570093,34.18839513,-119.2239189,64.16287383,8.330405593
342,14.02558495,0.0006500034982,34.18840642,-119.2239096,64.16825786,8.326909394
